Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
78,0.13206951774248715,0.2872592242836952,89.68,99.88,0.9028535720196441,0.8968,0.8973543891380763,5,"[37, 28, 21, 15, 13]"
79,0.07215262996912161,0.27938371715545657,90.0,99.82,0.9032571919483222,0.9,0.8991312466026077,5,"[8, 35, 17, 2, 37]"
80,0.07215307495658188,0.3009637303709984,89.03,99.84,0.8932729739434624,0.8903,0.8898513580030538,5,"[14, 38, 46, 16, 9]"
81,0.08202240119716181,0.28064871944189074,90.12,99.84,0.9041741889263343,0.9012,0.898482154083364,5,"[15, 23, 1, 13, 14]"
82,0.08074666654784679,0.2895600171089172,89.29,99.86,0.9014592152410982,0.8929,0.8926538026519903,5,"[12, 27, 20, 26, 17]"
83,0.0667895575351188,0.2982744726896286,89.31,99.82,0.9015360143058617,0.8931,0.893655048057852,5,"[5, 34, 7, 24, 9]"
84,0.09599660052155504,0.31017151960730555,88.52,99.91,0.8998612613886502,0.8852,0.8871199603180913,5,"[13, 0, 38, 10, 28]"
85,0.04146985666472199,0.5041618816614151,87.31,98.88,0.8930829229348759,0.8731,0.8569100992998138,5,"[2, 31, 32, 40, 43]"
86,0.06929413573228596,0.30291568878889086,89.45,99.83,0.9006183711290713,0.8945,0.8924279670175838,5,"[41, 24, 34, 38, 5]"
87,0.059889887711451165,0.2671045959115028,90.57,99.81,0.9043611257017412,0.9057,0.903705559175463,5,"[2, 49, 43, 0, 35]"
88,0.07002027569548391,0.31490591056346895,88.73,99.87,0.8924086409801999,0.8873,0.8840014014496351,5,"[29, 10, 38, 48, 11]"
89,0.08337076313994486,0.34812535281181334,88.42,99.86,0.9000009038437609,0.8842,0.8825800631465143,5,"[16, 8, 37, 36, 45]"
90,0.06019933307439872,0.294043241751194,89.34,99.89,0.9015122555210955,0.8934,0.8939210788509415,5,"[3, 24, 12, 46, 36]"
91,0.08128079958588993,0.2843514974117279,89.65,99.9,0.9017528921059369,0.8965,0.89586146694356,5,"[26, 31, 28, 14, 38]"
92,0.07905219518628707,0.33823136123418807,88.67,99.76,0.8983513329197255,0.8867,0.8830819468988952,5,"[11, 41, 14, 40, 21]"
93,0.048667649375298744,0.33889511972665787,88.32,99.79,0.890565826793046,0.8832,0.8803987526064446,5,"[7, 10, 26, 49, 32]"
94,0.08757917044756643,0.27680584223270416,90.25,99.8,0.9037944620715951,0.9025,0.9009160970818461,5,"[43, 13, 15, 5, 28]"
95,0.06467216391220883,0.27775045566558837,90.32,99.79,0.9055934219827215,0.9032,0.9005412883949393,5,"[44, 18, 14, 2, 5]"
96,0.04020472665403981,0.4186358293414116,86.77,99.81,0.8869345875464519,0.8677,0.8657933834263742,5,"[31, 4, 36, 38, 46]"
97,0.05544164010645486,0.29384168800115584,89.52,99.85,0.9010537580115371,0.8952,0.8948021269426759,5,"[4, 2, 26, 20, 47]"
98,0.10836342213369046,0.35970934081077577,87.63,99.45,0.885349326150131,0.8763,0.8753968685107517,5,"[44, 30, 46, 19, 21]"
99,0.10091884348345433,0.3157229708909988,89.1,99.8,0.898259547534233,0.891,0.8902647530175267,5,"[35, 2, 39, 38, 30]"
